Hash Size,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,euclidean,1,0.50952,0.08100008964538574,4.327999114990234e-05
8,hamming,1,0.50936,0.08000016212463379,0.00011215999603271484
8,euclidean,4,0.50912,0.07399988174438477,4.66400146484375e-05
8,hamming,4,0.50816,0.0839998722076416,0.000117760009765625
8,euclidean,20,0.50024,0.08300018310546875,4.799999237060547e-05
8,hamming,20,0.4996,0.08499979972839355,0.00012520000457763673
8,euclidean,50,0.51608,0.08799982070922852,5.6960010528564454e-05
8,hamming,50,0.51328,0.07599997520446777,0.00014136001586914063
8,euclidean,100,0.49432,0.08299994468688965,7.400001525878906e-05
8,hamming,100,0.49296,0.08599996566772461,0.00016800001144409179
8,euclidean,250,0.51856,0.09100008010864258,0.00012647998809814454
8,hamming,250,0.52024,0.0820000171661377,0.0002363199996948242
8,euclidean,300,0.51888,0.08800005912780762,0.00013343999862670898
8,hamming,300,0.52096,0.07699990272521973,0.00024256000518798829
8,euclidean,500,0.51232,0.08099985122680664,0.00020496000289916993
8,hamming,500,0.51856,0.0819997787475586,0.0003554400062561035
16,euclidean,1,0.51472,0.08700013160705566,7.007999420166016e-05
16,hamming,1,0.51512,0.10300016403198242,0.00023
16,euclidean,4,0.51584,0.11400008201599121,9.808000564575196e-05
16,hamming,4,0.51568,0.09299993515014648,0.00028720001220703127
16,euclidean,20,0.51744,0.09599995613098145,9.880001068115235e-05
16,hamming,20,0.52336,0.09399986267089844,0.00035752000808715823
16,euclidean,50,0.51952,0.0989999771118164,0.00012559999465942384
16,hamming,50,0.52432,0.10299992561340332,0.0003204000091552734
16,euclidean,100,0.52208,0.08599996566772461,0.0001166400146484375
16,hamming,100,0.5296,0.08699989318847656,0.0003606400108337402
16,euclidean,250,0.52216,0.09300017356872559,0.00018727998733520507
16,hamming,250,0.5296,0.08300018310546875,0.0004649599838256836
16,euclidean,300,0.52232,0.08299994468688965,0.0002066400146484375
16,hamming,300,0.52672,0.09900021553039551,0.0005012799835205079
16,euclidean,500,0.51784,0.10099983215332031,0.0002772800064086914
16,hamming,500,0.53256,0.09599995613098145,0.0005989599990844726
32,euclidean,1,0.52648,0.0989999771118164,0.00011896001815795898
32,hamming,1,0.53032,0.09200000762939453,0.0010788800048828124
32,euclidean,4,0.52648,0.09799981117248535,0.00017248001098632811
32,hamming,4,0.52776,0.10800004005432129,0.0012912800025939941
32,euclidean,20,0.54056,0.0969998836517334,0.0002159200096130371
32,hamming,20,0.54056,0.09500002861022949,0.0014631999969482422
32,euclidean,50,0.54336,0.0970001220703125,0.000305359992980957
32,hamming,50,0.55304,0.0840001106262207,0.0015011199951171874
32,euclidean,100,0.54192,0.0969998836517334,0.00041304000854492187
32,hamming,100,0.5576,0.10600018501281738,0.0015494400024414063
32,euclidean,250,0.54272,0.09500002861022949,0.0005700799942016602
32,hamming,250,0.56192,0.09500002861022949,0.0015982399940490722
32,euclidean,300,0.54104,0.09200000762939453,0.0005755200004577636
32,hamming,300,0.56056,0.08800005912780762,0.0020641600036621095
32,euclidean,500,0.5412,0.08500003814697266,0.0005858399963378907
32,hamming,500,0.5596,0.08700013160705566,0.0015768799972534179
64,euclidean,1,0.52416,0.08599996566772461,0.000761919994354248
64,hamming,1,0.5236,0.0840001106262207,0.002782799987792969
64,euclidean,4,0.52704,0.09200000762939453,0.001338080005645752
64,hamming,4,0.52888,0.10199999809265137,0.002998879985809326
64,euclidean,20,0.53448,0.09400010108947754,0.0014805599975585937
64,hamming,20,0.542,0.11299991607666016,0.0032882399940490723
64,euclidean,50,0.54056,0.09400010108947754,0.0014607999992370605
64,hamming,50,0.55672,0.0840001106262207,0.002937439994812012
64,euclidean,100,0.54688,0.10299992561340332,0.0017780000114440918
64,hamming,100,0.56168,0.08099985122680664,0.003297200012207031
64,euclidean,250,0.55256,0.10199999809265137,0.0023315999984741213
64,hamming,250,0.56672,0.10700011253356934,0.003452479991912842
64,euclidean,300,0.55224,0.1119999885559082,0.002802720012664795
64,hamming,300,0.56848,0.10299992561340332,0.0033266400146484375
64,euclidean,500,0.55216,0.1100001335144043,0.002192159996032715
