Hash Size,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,euclidean,1,0.53752,2.7750000953674316,0.00015191999435424804
8,hamming,1,0.53992,2.630000114440918,0.0013568000030517579
8,euclidean,4,0.51888,2.63700008392334,0.00017343999862670897
8,hamming,4,0.51872,2.6600000858306885,0.00141
8,euclidean,20,0.54344,2.937000036239624,0.00020799999237060548
8,hamming,20,0.54616,2.687000036239624,0.0015976799964904785
8,euclidean,50,0.5692,2.6469998359680176,0.0002454400062561035
8,hamming,50,0.57144,2.565000057220459,0.0015788800048828124
8,euclidean,100,0.57552,2.5320000648498535,0.0003017600059509277
8,hamming,100,0.57864,2.9769999980926514,0.0018425600051879883
8,euclidean,250,0.58552,2.942000150680542,0.00042624000549316407
8,hamming,250,0.58792,2.5860002040863037,0.002053199996948242
8,euclidean,300,0.58664,2.735999822616577,0.0005001600074768066
8,hamming,300,0.588,2.8499999046325684,0.002004080009460449
8,euclidean,500,0.58632,2.686000108718872,0.0006615200042724609
8,hamming,500,0.58792,2.5859999656677246,0.002361200008392334
16,euclidean,1,0.53104,8.40500020980835,0.0007228799819946289
16,hamming,1,0.5292,9.47000002861023,0.004380559997558594
16,euclidean,4,0.50784,10.132999897003174,0.0011460800170898437
16,hamming,4,0.50912,10.6010000705719,0.005469440002441406
16,euclidean,20,0.54808,10.585999965667725,0.0014736800003051758
16,hamming,20,0.55416,10.467000007629395,0.00586591999053955
16,euclidean,50,0.5704,11.497999906539917,0.0020039200019836426
16,hamming,50,0.5764,10.361999988555908,0.006123999996185302
16,euclidean,100,0.57792,10.516000032424927,0.0023337599945068357
16,hamming,100,0.58192,10.361000061035156,0.006713519992828369
16,euclidean,250,0.58488,10.330000162124634,0.0030377599906921387
16,hamming,250,0.58952,13.469000101089478,0.006909679985046387
16,euclidean,300,0.58696,11.285000085830688,0.0029104800033569337
16,hamming,300,0.58696,10.898000001907349,0.007411119995117187
16,euclidean,500,0.58656,11.789999961853027,0.0033620000076293945
16,hamming,500,0.59256,11.242999792098999,0.007160240001678466
32,euclidean,1,0.52112,16.76699995994568,0.0024905599975585937
32,hamming,1,0.5248,18.56599998474121,0.01194840000152588
32,euclidean,4,0.50984,17.58299994468689,0.0033895199966430664
32,hamming,4,0.51464,17.680999994277954,0.011777119998931884
32,euclidean,20,0.5528,13.720999956130981,0.0038957600021362303
32,hamming,20,0.55896,14.099999904632568,0.0118092799949646
32,euclidean,50,0.57232,16.299000024795532,0.005135279998779297
32,hamming,50,0.57264,19.841000080108643,0.014597760009765625
32,euclidean,100,0.5836,19.08899998664856,0.005938720016479492
32,hamming,100,0.57536,18.41699981689453,0.013943760013580322
32,euclidean,250,0.58536,17.28000020980835,0.0077186399841308595
32,hamming,250,0.58384,21.479000091552734,0.014143839988708495
32,euclidean,300,0.58664,17.085000038146973,0.007481439990997314
32,hamming,300,0.58456,21.568000078201294,0.015067279987335204
32,euclidean,500,0.58664,22.657999992370605,0.008606960010528564
32,hamming,500,0.58752,21.07100009918213,0.014722080001831055
64,euclidean,1,0.53112,9.789999961853027,0.00797263999938965
64,hamming,1,0.53256,9.580999851226807,0.023202480010986327
64,euclidean,4,0.51864,9.896999835968018,0.010466560001373292
64,hamming,4,0.52128,9.275000095367432,0.02393095998764038
64,euclidean,20,0.56896,10.522000074386597,0.012613840007781983
64,hamming,20,0.56448,10.027000188827515,0.022917439994812012
64,euclidean,50,0.58104,8.837999820709229,0.013709440002441406
64,hamming,50,0.58456,8.907999992370605,0.02321759998321533
64,euclidean,100,0.58792,9.050000190734863,0.014596239986419677
64,hamming,100,0.58808,8.891999959945679,0.023322159996032713
64,euclidean,250,0.59024,8.865000009536743,0.015350879993438721
64,hamming,250,0.5948,9.557999849319458,0.023296720008850098
64,euclidean,300,0.59072,8.569000005722046,0.01555423999786377
64,hamming,300,0.6004,11.342000007629395,0.023203520011901856
64,euclidean,500,0.58776,8.273000001907349,0.016747760009765626
64,hamming,500,0.59984,9.444000005722046,0.02326343999862671
128,euclidean,1,0.5348,8.866999864578247,0.020460559997558594
128,hamming,1,0.54176,8.794000148773193,0.04150895999908447
128,euclidean,4,0.51944,9.526000022888184,0.023417040004730223
128,hamming,4,0.51832,8.755000114440918,0.041762159996032715
128,euclidean,20,0.56208,8.769999980926514,0.024618639984130858
128,hamming,20,0.57232,7.247999906539917,0.03909591999053955
128,euclidean,50,0.58552,7.922000169754028,0.024040319995880126
128,hamming,50,0.5876,7.6570000648498535,0.03981319999694824
128,euclidean,100,0.592,7.42300009727478,0.02455663999557495
128,hamming,100,0.59448,7.632999897003174,0.03797192001342774
128,euclidean,250,0.59824,6.978999853134155,0.02401079999923706
128,hamming,250,0.60136,7.01200008392334,0.03860680000305176
128,euclidean,300,0.59592,7.339000225067139,0.02505
128,hamming,300,0.60232,7.3420000076293945,0.03876680000305176
128,euclidean,500,0.5964,7.64300012588501,0.02479119998931885
128,hamming,500,0.60848,6.712000131607056,0.03788911998748779
