Hash Size,Image Shape,Image Type,C-Val,Accuracy,Precision,Recall,Fit Time,Average Query Time
8,"(128, 128)",blackwhite/string_image,0.001,0.49346666666666666,0.0,0.0,7.640000104904175,0.00034506664276123046
8,"(128, 128)",blackwhite/string_image,0.01,0.49346666666666666,0.0,0.0,7.5329999923706055,0.0003399999936421712
8,"(128, 128)",blackwhite/string_image,0.1,0.49346666666666666,0.0,0.0,7.865000009536743,0.0003421333312988281
8,"(128, 128)",blackwhite/string_image,10.0,0.4982666666666667,0.5532544378698225,0.04922347986312187,7.7159998416900635,0.0003430666923522949
8,"(128, 128)",blackwhite/string_image,100.0,0.4982666666666667,0.5532544378698225,0.04922347986312187,8.574999809265137,0.0003749333381652832
8,"(128, 128)",blackwhite/string_image,1000.0,0.4982666666666667,0.5532544378698225,0.04922347986312187,9.075000047683716,0.00038760000864664713
8,"(128, 128)",color/string_image/not_smooth,0.001,0.4968,0.4968,1.0,5.20799994468689,0.00022320000330607097
8,"(128, 128)",color/string_image/not_smooth,0.01,0.4968,0.4968,1.0,5.4730000495910645,0.00023826665878295898
8,"(128, 128)",color/string_image/not_smooth,0.1,0.4998666666666667,0.4982558950746477,0.9584004294149222,5.192999839782715,0.000224666690826416
8,"(128, 128)",color/string_image/not_smooth,10.0,0.5070666666666667,0.5611814345991561,0.03569511540526033,5.473999977111816,0.00022440001169840495
8,"(128, 128)",color/string_image/not_smooth,100.0,0.5070666666666667,0.5611814345991561,0.03569511540526033,5.441999912261963,0.00022893333435058594
8,"(128, 128)",color/string_image/not_smooth,1000.0,0.5070666666666667,0.5611814345991561,0.03569511540526033,5.46999979019165,0.00022360000610351563
8,"(128, 128)",color/string_image/smooth,0.001,0.4964,0.4964,1.0,9.258000135421753,0.0004142666498819987
8,"(128, 128)",color/string_image/smooth,0.01,0.4964,0.4964,1.0,9.468999862670898,0.000398799991607666
8,"(128, 128)",color/string_image/smooth,0.1,0.5004,0.4955522609340252,0.3591189900617781,9.299000024795532,0.00039839998881022133
8,"(128, 128)",color/string_image/smooth,10.0,0.4992,0.49386388992190405,0.35670158474348646,9.51799988746643,0.0003922666867574056
8,"(128, 128)",color/string_image/smooth,100.0,0.49946666666666667,0.4943327239488117,0.3631479989255976,9.822999954223633,0.0004237333297729492
8,"(128, 128)",color/string_image/smooth,1000.0,0.4992,0.4939538292414804,0.36207359656191246,11.585999965667725,0.0004307999928792318
8,"(128, 128)",color/full_image/not_smooth,0.001,0.4982666666666667,0.0,0.0,4.976000070571899,0.00021613334019978842
8,"(128, 128)",color/full_image/not_smooth,0.01,0.4982666666666667,0.0,0.0,4.990000009536743,0.00021359999974568684
8,"(128, 128)",color/full_image/not_smooth,0.1,0.4982666666666667,0.0,0.0,4.906000137329102,0.0002130666414896647
8,"(128, 128)",color/full_image/not_smooth,10.0,0.4982666666666667,0.0,0.0,5.308000087738037,0.0002110666592915853
8,"(128, 128)",color/full_image/not_smooth,100.0,0.4982666666666667,0.0,0.0,5.615999937057495,0.00023280000686645507
8,"(128, 128)",color/full_image/not_smooth,1000.0,0.4982666666666667,0.0,0.0,5.413999795913696,0.00020786666870117187
8,"(128, 128)",color/full_image/smooth,0.001,0.5005333333333334,0.5002668801708033,0.9997333333333334,5.085999965667725,0.00021026668548583985
8,"(128, 128)",color/full_image/smooth,0.01,0.5005333333333334,0.5002668801708033,0.9997333333333334,5.069999933242798,0.00022000001271565755
8,"(128, 128)",color/full_image/smooth,0.1,0.5005333333333334,0.5002668801708033,0.9997333333333334,4.915999889373779,0.0002106666882832845
8,"(128, 128)",color/full_image/smooth,10.0,0.5005333333333334,0.5002668801708033,0.9997333333333334,5.006999969482422,0.00021066665649414063
8,"(128, 128)",color/full_image/smooth,100.0,0.5005333333333334,0.5002668801708033,0.9997333333333334,5.093999862670898,0.00021440000534057616
8,"(128, 128)",color/full_image/smooth,1000.0,0.5005333333333334,0.5002668801708033,0.9997333333333334,5.171000003814697,0.0002110666592915853
8,"(128, 128)",color/string_image/smooth,0.001,0.49333333333333335,0.49333333333333335,1.0,10.232999801635742,0.00043613335291544595
8,"(128, 128)",color/string_image/smooth,0.01,0.49333333333333335,0.49333333333333335,1.0,10.091000080108643,0.0004353333155314128
8,"(128, 128)",color/string_image/smooth,0.1,0.4988,0.48968170689052115,0.3783783783783784,10.17199993133545,0.0004384000142415365
8,"(128, 128)",color/string_image/smooth,10.0,0.5030666666666667,0.4952144629563984,0.37756756756756754,10.708000183105469,0.00042519998550415037
8,"(128, 128)",color/string_image/smooth,100.0,0.5026666666666667,0.49475524475524474,0.3824324324324324,11.16700005531311,0.00042226667404174806
8,"(128, 128)",color/string_image/smooth,1000.0,0.5021333333333333,0.49406009783368277,0.38216216216216214,11.736000061035156,0.00042653331756591794
8,"(128, 128)",grayscale/full_image,0.001,0.4968,0.0,0.0,8.797000169754028,0.00039946667353312176
8,"(128, 128)",grayscale/full_image,0.01,0.4968,0.0,0.0,8.835999965667725,0.0004130666732788086
8,"(128, 128)",grayscale/full_image,0.1,0.5010666666666667,0.5064205457463884,0.3343932167461579,8.598000049591064,0.000398799991607666
8,"(128, 128)",grayscale/full_image,10.0,0.5010666666666667,0.5064205457463884,0.3343932167461579,8.828999996185303,0.00039133335749308266
8,"(128, 128)",grayscale/full_image,100.0,0.5010666666666667,0.5064205457463884,0.3343932167461579,8.768999814987183,0.0003969333330790202
8,"(128, 128)",grayscale/full_image,1000.0,0.5010666666666667,0.5064205457463884,0.3343932167461579,8.782000064849854,0.00039866666793823244
8,"(128, 128)",blackwhite/full_image,0.001,0.49733333333333335,0.0,0.0,5.137999773025513,0.0002249333381652832
8,"(128, 128)",blackwhite/full_image,0.01,0.49733333333333335,0.0,0.0,5.08299994468689,0.00022106666564941408
8,"(128, 128)",blackwhite/full_image,0.1,0.49733333333333335,0.0,0.0,5.0920000076293945,0.0002241333325703939
8,"(128, 128)",blackwhite/full_image,10.0,0.49746666666666667,1.0,0.0002652519893899204,5.127999782562256,0.00022066669464111327
8,"(128, 128)",blackwhite/full_image,100.0,0.49746666666666667,1.0,0.0002652519893899204,5.128000020980835,0.00022026666005452473
8,"(128, 128)",blackwhite/full_image,1000.0,0.49746666666666667,1.0,0.0002652519893899204,5.1529998779296875,0.00022226667404174805
8,"(128, 128)",grayscale/string_image,0.001,0.496,0.0,0.0,6.7799999713897705,0.00029079999923706056
8,"(128, 128)",grayscale/string_image,0.01,0.496,0.0,0.0,6.491999864578247,0.0002820000012715658
8,"(128, 128)",grayscale/string_image,0.1,0.496,0.0,0.0,6.3409998416900635,0.00027733335494995115
8,"(128, 128)",grayscale/string_image,10.0,0.496,0.0,0.0,6.346999883651733,0.0002877333323160807
8,"(128, 128)",grayscale/string_image,100.0,0.496,0.0,0.0,6.458999872207642,0.00028226668039957683
8,"(128, 128)",grayscale/string_image,1000.0,0.496,0.0,0.0,6.509999990463257,0.0002828000068664551
8,"(64, 64)",blackwhite/string_image,0.001,0.4984,0.4984,1.0,5.453999996185303,0.00021120001475016277
8,"(64, 64)",blackwhite/string_image,0.01,0.4984,0.4984,1.0,4.930999994277954,0.00020959997177124023
8,"(64, 64)",blackwhite/string_image,0.1,0.4984,0.4984,1.0,4.937999963760376,0.00021893332799275715
8,"(64, 64)",blackwhite/string_image,10.0,0.4984,0.4984,1.0,5.04200005531311,0.00021599998474121094
8,"(64, 64)",blackwhite/string_image,100.0,0.4984,0.4984,1.0,4.931999921798706,0.00021373332341512044
8,"(64, 64)",blackwhite/string_image,1000.0,0.4984,0.4984,1.0,4.919000148773193,0.000211733341217041
8,"(64, 64)",color/string_image/not_smooth,0.001,0.49666666666666665,0.0,0.0,9.315999984741211,0.00040639998118082685
8,"(64, 64)",color/string_image/not_smooth,0.01,0.49666666666666665,0.0,0.0,9.04099988937378,0.00039839998881022133
8,"(64, 64)",color/string_image/not_smooth,0.1,0.49773333333333336,0.5013736263736264,0.38675496688741723,8.559000015258789,0.0003741333325703939
8,"(64, 64)",color/string_image/not_smooth,10.0,0.49773333333333336,0.5013736263736264,0.38675496688741723,8.526000022888184,0.00037119998931884766
8,"(64, 64)",color/string_image/not_smooth,100.0,0.49773333333333336,0.5013736263736264,0.38675496688741723,8.530999898910522,0.00037666667302449546
8,"(64, 64)",color/string_image/not_smooth,1000.0,0.49773333333333336,0.5013736263736264,0.38675496688741723,8.985000133514404,0.0003832000096638997
8,"(64, 64)",color/string_image/smooth,0.001,0.49946666666666667,0.0,0.0,6.389999866485596,0.000284933344523112
