Hash Size,Image Shape,Image Type,C-Val,Accuracy,Precision,Recall,Fit Time,Average Query Time
8,"(128, 128)",blackwhite/string_image,0.001,0.49693333333333334,0.0,0.0,0.2969999313354492,0.0
8,"(128, 128)",blackwhite/string_image,0.002,0.49693333333333334,0.0,0.0,0.6089999675750732,0.0
8,"(128, 128)",blackwhite/string_image,0.0015,0.49693333333333334,0.0,0.0,0.45799994468688965,0.0
8,"(128, 128)",blackwhite/string_image,0.01,0.5029333333333333,0.5029333333333333,1.0,0.6559998989105225,0.0
8,"(128, 128)",blackwhite/string_image,0.02,0.5029333333333333,0.5029333333333333,1.0,0.6409997940063477,0.0
8,"(128, 128)",blackwhite/string_image,0.015,0.49693333333333334,0.0,0.0,0.6500000953674316,0.0
8,"(128, 128)",blackwhite/string_image,0.1,0.49693333333333334,0.0,0.0,0.6630001068115234,0.0
8,"(128, 128)",blackwhite/string_image,0.2,0.5029333333333333,0.5029333333333333,1.0,0.6490001678466797,0.0
8,"(128, 128)",blackwhite/string_image,0.15,0.49693333333333334,0.0,0.0,0.6390001773834229,1.3332366943359376e-07
8,"(128, 128)",blackwhite/string_image,10.0,0.5029333333333333,0.5029333333333333,1.0,0.6560001373291016,0.0
8,"(128, 128)",blackwhite/string_image,20.0,0.49693333333333334,0.0,0.0,0.6419999599456787,0.0
8,"(128, 128)",blackwhite/string_image,15.0,0.5029333333333333,0.5029333333333333,1.0,0.6529998779296875,0.0
8,"(128, 128)",blackwhite/string_image,100.0,0.49693333333333334,0.0,0.0,0.6520001888275146,0.0
8,"(128, 128)",blackwhite/string_image,200.0,0.49693333333333334,0.0,0.0,0.6610000133514404,1.3332366943359376e-07
8,"(128, 128)",blackwhite/string_image,150.0,0.49693333333333334,0.0,0.0,0.6380000114440918,0.0
8,"(128, 128)",blackwhite/string_image,1000.0,0.5029333333333333,0.5029333333333333,1.0,0.6340000629425049,0.0
8,"(128, 128)",blackwhite/string_image,2000.0,0.5029333333333333,0.5029333333333333,1.0,0.6540000438690186,0.0
8,"(128, 128)",blackwhite/string_image,1500.0,0.5029333333333333,0.5029333333333333,1.0,0.695000171661377,0.0
8,"(128, 128)",color/string_image/not_smooth,0.001,0.498,0.498390989541432,0.9935846030473136,0.6770000457763672,0.0
8,"(128, 128)",color/string_image/not_smooth,0.002,0.49853333333333333,0.49864864864864866,0.9863672814755413,0.6589999198913574,0.0
8,"(128, 128)",color/string_image/not_smooth,0.0015,0.4978666666666667,0.49832237283586095,0.9925153702218658,0.6660001277923584,0.0
8,"(128, 128)",color/string_image/not_smooth,0.01,0.4988,0.4988,1.0,0.6670000553131104,0.0
8,"(128, 128)",color/string_image/not_smooth,0.02,0.4988,0.4988,1.0,0.6610000133514404,1.3332366943359376e-07
