Hash Size,Image Shape,Image Type,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,"(28, 80)",blackwhite/string_image,euclidean,1,0.5436,2.193999767303467,0.0005475600004196167
8,"(28, 80)",blackwhite/string_image,hamming,1,0.5436,2.1670000553131104,0.0006887599992752076
8,"(28, 80)",blackwhite/string_image,euclidean,4,0.49214,2.182999849319458,0.0005483800029754638
8,"(28, 80)",blackwhite/string_image,hamming,4,0.49214,2.1659998893737793,0.0006988199996948243
8,"(28, 80)",blackwhite/string_image,euclidean,20,0.51388,2.2039999961853027,0.0007011600017547608
8,"(28, 80)",blackwhite/string_image,hamming,20,0.51388,2.4790000915527344,0.0008714599990844727
8,"(28, 80)",blackwhite/string_image,euclidean,50,0.55666,2.437999963760376,0.0006580999994277954
8,"(28, 80)",blackwhite/string_image,hamming,50,0.55666,2.0390000343322754,0.0007191800022125244
8,"(28, 80)",blackwhite/string_image,euclidean,100,0.55718,2.1459999084472656,0.0005721000003814697
8,"(28, 80)",blackwhite/string_image,hamming,100,0.55718,2.134999990463257,0.0007256799983978271
8,"(28, 80)",blackwhite/string_image,euclidean,250,0.56422,2.2230000495910645,0.0006345800018310547
8,"(28, 80)",blackwhite/string_image,hamming,250,0.56422,2.2039999961853027,0.0008003999996185302
8,"(28, 80)",color/full_image/not_smooth,euclidean,1,0.5648,2.263000011444092,0.0006769600009918213
8,"(28, 80)",color/full_image/not_smooth,hamming,1,0.5648,2.123000144958496,0.0006477199983596801
8,"(28, 80)",color/full_image/not_smooth,euclidean,4,0.4352,2.19599986076355,0.0007014200019836425
8,"(28, 80)",color/full_image/not_smooth,hamming,4,0.4352,2.2709999084472656,0.0006823600006103515
8,"(28, 80)",color/full_image/not_smooth,euclidean,20,0.5648,2.697000026702881,0.000776439995765686
8,"(28, 80)",color/full_image/not_smooth,hamming,20,0.5648,2.296999931335449,0.0007039800024032592
8,"(28, 80)",color/full_image/not_smooth,euclidean,50,0.5648,2.255000114440918,0.0007531599998474121
8,"(28, 80)",color/full_image/not_smooth,hamming,50,0.5648,2.2249999046325684,0.0007772000026702881
8,"(28, 80)",color/full_image/not_smooth,euclidean,100,0.5648,2.2870001792907715,0.0007567999982833862
8,"(28, 80)",color/full_image/not_smooth,hamming,100,0.5648,2.2340002059936523,0.0007449399995803833
8,"(28, 80)",color/full_image/not_smooth,euclidean,250,0.5648,2.434000015258789,0.0008168199968338013
8,"(28, 80)",color/full_image/not_smooth,hamming,250,0.5648,2.2699999809265137,0.0007494799995422364
8,"(28, 80)",grayscale/full_image,euclidean,1,0.53106,1.9670000076293945,0.0005296799993515014
8,"(28, 80)",grayscale/full_image,hamming,1,0.53106,2.009000062942505,0.0004962999963760376
8,"(28, 80)",grayscale/full_image,euclidean,4,0.4352,1.8859999179840088,0.0005314599990844727
8,"(28, 80)",grayscale/full_image,hamming,4,0.4352,1.929999828338623,0.000499520001411438
8,"(28, 80)",grayscale/full_image,euclidean,20,0.4352,1.8999998569488525,0.000537920002937317
8,"(28, 80)",grayscale/full_image,hamming,20,0.4352,1.8369998931884766,0.0005051999998092651
8,"(28, 80)",grayscale/full_image,euclidean,50,0.4352,2.0379998683929443,0.0005375600004196167
8,"(28, 80)",grayscale/full_image,hamming,50,0.4352,1.8929998874664307,0.0004878600025177002
8,"(28, 80)",grayscale/full_image,euclidean,100,0.53106,1.880000114440918,0.0005473999977111816
8,"(28, 80)",grayscale/full_image,hamming,100,0.53106,2.0290000438690186,0.0005121600008010864
8,"(28, 80)",grayscale/full_image,euclidean,250,0.5648,2.000999927520752,0.0005725999975204468
8,"(28, 80)",grayscale/full_image,hamming,250,0.5648,2.0,0.0005302399969100952
8,"(28, 80)",blackwhite/full_image,euclidean,1,0.45488,2.2660000324249268,0.0004558400011062622
8,"(28, 80)",blackwhite/full_image,hamming,1,0.45488,2.2180001735687256,0.000438459997177124
8,"(28, 80)",blackwhite/full_image,euclidean,4,0.45442,2.177000045776367,0.00047182000160217284
8,"(28, 80)",blackwhite/full_image,hamming,4,0.45442,2.190999984741211,0.00044050000190734866
8,"(28, 80)",blackwhite/full_image,euclidean,20,0.4604,2.125999927520752,0.0004533200025558472
8,"(28, 80)",blackwhite/full_image,hamming,20,0.4604,2.1730000972747803,0.00043449999809265136
8,"(28, 80)",blackwhite/full_image,euclidean,50,0.46652,2.069999933242798,0.0004800600004196167
8,"(28, 80)",blackwhite/full_image,hamming,50,0.46652,2.1559998989105225,0.00045032000064849855
8,"(28, 80)",blackwhite/full_image,euclidean,100,0.4714,2.1690001487731934,0.0004838599967956543
8,"(28, 80)",blackwhite/full_image,hamming,100,0.4714,2.197000026702881,0.00045849999904632566
8,"(28, 80)",blackwhite/full_image,euclidean,250,0.56564,2.117000102996826,0.0005288199996948242
8,"(28, 80)",blackwhite/full_image,hamming,250,0.56564,2.1649999618530273,0.00048720000267028806
8,"(28, 80)",grayscale/string_image,euclidean,1,0.46534,2.003999948501587,0.0004554200029373169
8,"(28, 80)",grayscale/string_image,hamming,1,0.46534,2.174999952316284,0.0003767199993133545
8,"(28, 80)",grayscale/string_image,euclidean,4,0.43966,1.9399998188018799,0.00047680000305175784
8,"(28, 80)",grayscale/string_image,hamming,4,0.43966,1.999000072479248,0.0003648399972915649
8,"(28, 80)",grayscale/string_image,euclidean,20,0.54054,2.0980000495910645,0.00043599999904632566
8,"(28, 80)",grayscale/string_image,hamming,20,0.54054,2.0169999599456787,0.0004053999996185303
8,"(28, 80)",grayscale/string_image,euclidean,50,0.57002,2.044999837875366,0.0004833400011062622
8,"(28, 80)",grayscale/string_image,hamming,50,0.57002,2.2180001735687256,0.000443939995765686
8,"(28, 80)",grayscale/string_image,euclidean,100,0.57006,2.2129998207092285,0.00048634000301361083
8,"(28, 80)",grayscale/string_image,hamming,100,0.57006,2.127000093460083,0.00041073999881744387
8,"(28, 80)",grayscale/string_image,euclidean,250,0.56956,2.296999931335449,0.0005596200037002564
8,"(28, 80)",grayscale/string_image,hamming,250,0.56956,2.125,0.0004850600004196167
8,"(35, 32)",blackwhite/string_image,euclidean,1,0.52898,1.566999912261963,0.00015324000358581542
8,"(35, 32)",blackwhite/string_image,hamming,1,0.52898,1.6649999618530273,0.00020444000244140625
8,"(35, 32)",blackwhite/string_image,euclidean,4,0.49926,1.6970000267028809,0.00016585999965667726
8,"(35, 32)",blackwhite/string_image,hamming,4,0.49926,1.698000192642212,0.0002046399974822998
8,"(35, 32)",blackwhite/string_image,euclidean,20,0.5053,1.7079999446868896,0.00016475999832153321
8,"(35, 32)",blackwhite/string_image,hamming,20,0.5053,1.5400002002716064,0.00021311999797821044
8,"(35, 32)",blackwhite/string_image,euclidean,50,0.53362,1.5830001831054688,0.0002315399980545044
8,"(35, 32)",blackwhite/string_image,hamming,50,0.53362,2.3320000171661377,0.00027478000164031985
8,"(35, 32)",blackwhite/string_image,euclidean,100,0.53756,1.9620001316070557,0.0002507200002670288
8,"(35, 32)",blackwhite/string_image,hamming,100,0.53756,1.6129999160766602,0.00025332000255584716
8,"(35, 32)",blackwhite/string_image,euclidean,250,0.56732,1.7039999961853027,0.0002747399997711182
8,"(35, 32)",blackwhite/string_image,hamming,250,0.56732,1.621000051498413,0.0003285599994659424
8,"(35, 32)",color/full_image/not_smooth,euclidean,1,0.5648,2.190000057220459,0.0006746799993515015
8,"(35, 32)",color/full_image/not_smooth,hamming,1,0.5648,2.258000135421753,0.0006631799983978272
8,"(35, 32)",color/full_image/not_smooth,euclidean,4,0.4352,2.392000198364258,0.0008106199979782104
8,"(35, 32)",color/full_image/not_smooth,hamming,4,0.4352,2.496999979019165,0.000766399998664856
8,"(35, 32)",color/full_image/not_smooth,euclidean,20,0.5648,2.4180002212524414,0.0008390199995040894
8,"(35, 32)",color/full_image/not_smooth,hamming,20,0.5648,2.4179999828338623,0.0007319000005722046
8,"(35, 32)",color/full_image/not_smooth,euclidean,50,0.5648,2.2820000648498535,0.0007187999963760376
8,"(35, 32)",color/full_image/not_smooth,hamming,50,0.5648,2.187999963760376,0.0006597800016403198
8,"(35, 32)",color/full_image/not_smooth,euclidean,100,0.5648,2.3420000076293945,0.0006890199995040893
8,"(35, 32)",color/full_image/not_smooth,hamming,100,0.5648,2.0950000286102295,0.0006590000009536743
8,"(35, 32)",color/full_image/not_smooth,euclidean,250,0.5648,2.179999828338623,0.0007195000028610229
8,"(35, 32)",color/full_image/not_smooth,hamming,250,0.5648,2.1469998359680176,0.0006884800004959106
8,"(35, 32)",grayscale/full_image,euclidean,1,0.5648,2.1560001373291016,0.0007059800004959106
8,"(35, 32)",grayscale/full_image,hamming,1,0.5648,2.5510001182556152,0.0006670599985122681
8,"(35, 32)",grayscale/full_image,euclidean,4,0.4352,2.1669998168945312,0.0006983200025558471
8,"(35, 32)",grayscale/full_image,hamming,4,0.4352,2.2109999656677246,0.0006730399990081788
8,"(35, 32)",grayscale/full_image,euclidean,20,0.5648,2.0929999351501465,0.0006975
8,"(35, 32)",grayscale/full_image,hamming,20,0.5648,2.2239999771118164,0.0006833599996566772
8,"(35, 32)",grayscale/full_image,euclidean,50,0.5648,2.1529998779296875,0.0007017600011825562
8,"(35, 32)",grayscale/full_image,hamming,50,0.5648,2.1610000133514404,0.0006724399995803834
8,"(35, 32)",grayscale/full_image,euclidean,100,0.5648,2.1629998683929443,0.0007301200008392334
8,"(35, 32)",grayscale/full_image,hamming,100,0.5648,2.0929999351501465,0.0006498800039291382
8,"(35, 32)",grayscale/full_image,euclidean,250,0.5648,2.069999933242798,0.0007116800022125245
8,"(35, 32)",grayscale/full_image,hamming,250,0.5648,2.188999891281128,0.0006769400024414062
8,"(35, 32)",blackwhite/full_image,euclidean,1,0.43516,1.9630000591278076,0.0006150999975204468
8,"(35, 32)",blackwhite/full_image,hamming,1,0.43516,2.1620001792907715,0.0006263199996948242
8,"(35, 32)",blackwhite/full_image,euclidean,4,0.43466,2.241999864578247,0.0006826800012588501
8,"(35, 32)",blackwhite/full_image,hamming,4,0.43466,2.138000011444092,0.0006249000024795532
8,"(35, 32)",blackwhite/full_image,euclidean,20,0.5695,2.2209999561309814,0.0007389200019836425
8,"(35, 32)",blackwhite/full_image,hamming,20,0.5695,2.4639999866485596,0.0006491599988937378
8,"(35, 32)",blackwhite/full_image,euclidean,50,0.57,2.255999803543091,0.0006104200029373169
8,"(35, 32)",blackwhite/full_image,hamming,50,0.57,2.010999917984009,0.0005528999996185302
8,"(35, 32)",blackwhite/full_image,euclidean,100,0.56992,1.9909999370574951,0.000600900001525879
8,"(35, 32)",blackwhite/full_image,hamming,100,0.56992,2.078000068664551,0.0006632399988174438
8,"(35, 32)",blackwhite/full_image,euclidean,250,0.57028,2.1660001277923584,0.0007935999965667724
8,"(35, 32)",blackwhite/full_image,hamming,250,0.57028,2.187999963760376,0.0006749399995803833
8,"(35, 32)",grayscale/string_image,euclidean,1,0.56146,1.6349999904632568,0.00042829999923706054
8,"(35, 32)",grayscale/string_image,hamming,1,0.56146,1.6119999885559082,0.0003798799991607666
8,"(35, 32)",grayscale/string_image,euclidean,4,0.47838,1.488999843597412,0.0003739200019836426
8,"(35, 32)",grayscale/string_image,hamming,4,0.47838,1.429999828338623,0.00033606000423431397
8,"(35, 32)",grayscale/string_image,euclidean,20,0.55924,1.4159998893737793,0.0003986199998855591
8,"(35, 32)",grayscale/string_image,hamming,20,0.55924,1.5989999771118164,0.00035948000431060794
8,"(35, 32)",grayscale/string_image,euclidean,50,0.55868,1.50600004196167,0.0003661599969863892
8,"(35, 32)",grayscale/string_image,hamming,50,0.55868,1.4279999732971191,0.0003246999979019165
8,"(35, 32)",grayscale/string_image,euclidean,100,0.56154,1.3969998359680176,0.0003613800001144409
8,"(35, 32)",grayscale/string_image,hamming,100,0.56154,1.4150002002716064,0.00033822000026702883
8,"(35, 32)",grayscale/string_image,euclidean,250,0.56654,1.4240000247955322,0.0004109999990463257
8,"(35, 32)",grayscale/string_image,hamming,250,0.56654,1.3589999675750732,0.0003780399990081787
8,"(40, 28)",blackwhite/string_image,euclidean,1,0.52902,1.7400000095367432,0.00021205999851226808
8,"(40, 28)",blackwhite/string_image,hamming,1,0.52902,1.8199999332427979,0.0002894199991226196
8,"(40, 28)",blackwhite/string_image,euclidean,4,0.46458,1.7829999923706055,0.0002375600004196167
8,"(40, 28)",blackwhite/string_image,hamming,4,0.46458,1.6730000972747803,0.00030063999652862547
8,"(40, 28)",blackwhite/string_image,euclidean,20,0.5384,1.7730000019073486,0.00023763999938964845
8,"(40, 28)",blackwhite/string_image,hamming,20,0.5384,1.8010001182556152,0.0003227999973297119
8,"(40, 28)",blackwhite/string_image,euclidean,50,0.5273,1.7079999446868896,0.00027004000186920166
8,"(40, 28)",blackwhite/string_image,hamming,50,0.5273,1.74399995803833,0.00034492000102996824
8,"(40, 28)",blackwhite/string_image,euclidean,100,0.5582,1.8369998931884766,0.0003037400007247925
8,"(40, 28)",blackwhite/string_image,hamming,100,0.5582,1.7360000610351562,0.00038823999881744387
8,"(40, 28)",blackwhite/string_image,euclidean,250,0.56324,1.744999885559082,0.0004336600017547607
8,"(40, 28)",blackwhite/string_image,hamming,250,0.56324,1.9609999656677246,0.0005776000022888184
8,"(40, 28)",color/full_image/not_smooth,euclidean,1,0.5648,2.437000036239624,0.0008438199996948242
8,"(40, 28)",color/full_image/not_smooth,hamming,1,0.5648,2.1419999599456787,0.0007642999982833863
8,"(40, 28)",color/full_image/not_smooth,euclidean,4,0.4352,2.421999931335449,0.0007940999984741211
8,"(40, 28)",color/full_image/not_smooth,hamming,4,0.4352,2.2929999828338623,0.000712020001411438
8,"(40, 28)",color/full_image/not_smooth,euclidean,20,0.5648,2.25600004196167,0.0007682800006866455
8,"(40, 28)",color/full_image/not_smooth,hamming,20,0.5648,2.299999952316284,0.000728120002746582
8,"(40, 28)",color/full_image/not_smooth,euclidean,50,0.5648,2.197999954223633,0.000783120002746582
8,"(40, 28)",color/full_image/not_smooth,hamming,50,0.5648,2.7049999237060547,0.0007821400022506714
8,"(40, 28)",color/full_image/not_smooth,euclidean,100,0.5648,2.434999942779541,0.0008418599987030029
8,"(40, 28)",color/full_image/not_smooth,hamming,100,0.5648,2.2300000190734863,0.0007401800012588501
8,"(40, 28)",color/full_image/not_smooth,euclidean,250,0.5648,2.302999973297119,0.0008226000022888184
8,"(40, 28)",color/full_image/not_smooth,hamming,250,0.5648,2.364000082015991,0.0007767199993133544
8,"(40, 28)",grayscale/full_image,euclidean,1,0.5648,2.186000108718872,0.0008203200006484985
8,"(40, 28)",grayscale/full_image,hamming,1,0.5648,2.4839999675750732,0.0007548600006103516
8,"(40, 28)",grayscale/full_image,euclidean,4,0.4352,2.365999937057495,0.0008727600002288818
8,"(40, 28)",grayscale/full_image,hamming,4,0.4352,2.3559999465942383,0.0007455800008773803
8,"(40, 28)",grayscale/full_image,euclidean,20,0.5648,2.2199997901916504,0.0007943800020217895
8,"(40, 28)",grayscale/full_image,hamming,20,0.5648,2.390000104904175,0.0007507000017166138
8,"(40, 28)",grayscale/full_image,euclidean,50,0.5648,2.3969998359680176,0.0007239200019836426
8,"(40, 28)",grayscale/full_image,hamming,50,0.5648,2.080000162124634,0.0006596399974822998
8,"(40, 28)",grayscale/full_image,euclidean,100,0.5648,2.125,0.0007949199962615967
8,"(40, 28)",grayscale/full_image,hamming,100,0.5648,2.3499999046325684,0.000812660002708435
8,"(40, 28)",grayscale/full_image,euclidean,250,0.5648,2.5250000953674316,0.0008708199977874756
8,"(40, 28)",grayscale/full_image,hamming,250,0.5648,2.501000165939331,0.0007982999992370605
8,"(40, 28)",blackwhite/full_image,euclidean,1,0.48846,2.0860002040863037,0.00040405999660491943
8,"(40, 28)",blackwhite/full_image,hamming,1,0.48846,1.9010000228881836,0.00036985999584198
8,"(40, 28)",blackwhite/full_image,euclidean,4,0.4885,2.13700008392334,0.00042084000110626223
8,"(40, 28)",blackwhite/full_image,hamming,4,0.4885,2.048999786376953,0.00036648000240325926
8,"(40, 28)",blackwhite/full_image,euclidean,20,0.56888,1.9900000095367432,0.00042128000259399414
8,"(40, 28)",blackwhite/full_image,hamming,20,0.56888,1.9779999256134033,0.00035742000102996827
8,"(40, 28)",blackwhite/full_image,euclidean,50,0.56892,1.8879997730255127,0.0003655400037765503
8,"(40, 28)",blackwhite/full_image,hamming,50,0.56892,1.8839998245239258,0.00034898000240325927
8,"(40, 28)",blackwhite/full_image,euclidean,100,0.53654,2.1019999980926514,0.00042854000091552735
8,"(40, 28)",blackwhite/full_image,hamming,100,0.53654,1.9000000953674316,0.0003696600008010864
8,"(40, 28)",blackwhite/full_image,euclidean,250,0.569,2.13100004196167,0.0004299399995803833
8,"(40, 28)",blackwhite/full_image,hamming,250,0.569,1.9579999446868896,0.0003803000020980835
8,"(40, 28)",grayscale/string_image,euclidean,1,0.51928,1.4280002117156982,0.00011785999774932862
8,"(40, 28)",grayscale/string_image,hamming,1,0.51928,1.2829999923706055,0.0001130400037765503
8,"(40, 28)",grayscale/string_image,euclidean,4,0.45626,1.3640000820159912,0.00013955999851226808
8,"(40, 28)",grayscale/string_image,hamming,4,0.45626,1.4270000457763672,0.00015157999992370606
8,"(40, 28)",grayscale/string_image,euclidean,20,0.47602,1.4190001487731934,0.00016785999774932863
8,"(40, 28)",grayscale/string_image,hamming,20,0.47602,1.440999984741211,0.00014230000019073487
8,"(40, 28)",grayscale/string_image,euclidean,50,0.5047,1.4489998817443848,0.0001798799991607666
8,"(40, 28)",grayscale/string_image,hamming,50,0.5047,1.5259997844696045,0.00016216000080108642
8,"(40, 28)",grayscale/string_image,euclidean,100,0.52306,1.4549999237060547,0.00018886000156402588
8,"(40, 28)",grayscale/string_image,hamming,100,0.52306,1.440000057220459,0.00018017999649047852
8,"(40, 28)",grayscale/string_image,euclidean,250,0.5648,1.4639999866485596,0.00023914000034332275
8,"(40, 28)",grayscale/string_image,hamming,250,0.5648,1.3670001029968262,0.0002241599988937378
16,"(28, 80)",blackwhite/string_image,euclidean,1,0.50434,4.102999925613403,0.0005416800022125244
16,"(28, 80)",blackwhite/string_image,hamming,1,0.50434,3.939000129699707,0.0006321399974822998
16,"(28, 80)",blackwhite/string_image,euclidean,4,0.49304,4.549000024795532,0.000632339997291565
16,"(28, 80)",blackwhite/string_image,hamming,4,0.49304,4.542999982833862,0.0007005000019073486
16,"(28, 80)",blackwhite/string_image,euclidean,20,0.53022,4.990000009536743,0.0006939400005340576
16,"(28, 80)",blackwhite/string_image,hamming,20,0.53022,3.7739999294281006,0.0008582599973678589
16,"(28, 80)",blackwhite/string_image,euclidean,50,0.5486,4.1570000648498535,0.000839060001373291
16,"(28, 80)",blackwhite/string_image,hamming,50,0.5486,3.6500000953674316,0.0009538399982452392
16,"(28, 80)",blackwhite/string_image,euclidean,100,0.55584,3.5920000076293945,0.000937480001449585
16,"(28, 80)",blackwhite/string_image,hamming,100,0.55584,3.4620001316070557,0.0011817199993133544
16,"(28, 80)",blackwhite/string_image,euclidean,250,0.56404,3.799999952316284,0.0013666199970245362
16,"(28, 80)",blackwhite/string_image,hamming,250,0.56404,4.764999866485596,0.0017939600038528443
16,"(28, 80)",color/full_image/not_smooth,euclidean,1,0.5648,5.207000017166138,0.0012412400007247924
