Hash Size,Image Shape,Image Type,C-Val,Accuracy,Precision,Recall,Fit Time,Average Query Time
8,"(128, 128)",blackwhite/string_image,0.001,0.49746666666666667,0.49746666666666667,1.0,11.491000175476074,0.000571999994913737
8,"(128, 128)",blackwhite/string_image,0.01,0.5182666666666667,0.5134826325411335,0.6022514071294559,11.608000040054321,0.0005533333460489909
8,"(128, 128)",blackwhite/string_image,0.1,0.52,0.5241786637135475,0.3805950147413562,10.913000106811523,0.0005401333173116048
8,"(128, 128)",blackwhite/string_image,10.0,0.5205333333333333,0.5239957340917171,0.3950683462878585,11.087999820709229,0.0005317333539326985
8,"(128, 128)",blackwhite/string_image,100.0,0.5205333333333333,0.5239957340917171,0.3950683462878585,10.940000057220459,0.0005271999994913737
8,"(128, 128)",blackwhite/string_image,1000.0,0.5205333333333333,0.5239957340917171,0.3950683462878585,11.822999954223633,0.0005543999989827473
8,"(128, 128)",color/string_image/not_smooth,0.001,0.4996,0.0,0.0,3.627000093460083,0.0001631999969482422
8,"(128, 128)",color/string_image/not_smooth,0.01,0.4996,0.0,0.0,3.5179998874664307,0.0001534666697184245
8,"(128, 128)",color/string_image/not_smooth,0.1,0.5050666666666667,0.596244131455399,0.03383959499067413,3.491999864578247,0.00015173333485921225
8,"(128, 128)",color/string_image/not_smooth,10.0,0.5050666666666667,0.596244131455399,0.03383959499067413,3.4769999980926514,0.00015733331044514974
8,"(128, 128)",color/string_image/not_smooth,100.0,0.5050666666666667,0.596244131455399,0.03383959499067413,3.4739999771118164,0.0001565333366394043
8,"(128, 128)",color/string_image/not_smooth,1000.0,0.5050666666666667,0.596244131455399,0.03383959499067413,3.5929999351501465,0.00015786666870117188
8,"(128, 128)",color/string_image/smooth,0.001,0.4904,0.4904,1.0,10.684999942779541,0.000510533332824707
8,"(128, 128)",color/string_image/smooth,0.01,0.4904,0.4904,1.0,10.365999937057495,0.0004962666829427083
8,"(128, 128)",color/string_image/smooth,0.1,0.5006666666666667,0.49382716049382713,0.7286568787384448,10.368000030517578,0.000496400006612142
8,"(128, 128)",color/string_image/smooth,10.0,0.5096,0.5,0.6628602501359434,10.25600004196167,0.00048613332112630207
8,"(128, 128)",color/string_image/smooth,100.0,0.5096,0.5,0.6628602501359434,10.083999872207642,0.0004836000124613444
8,"(128, 128)",color/string_image/smooth,1000.0,0.5096,0.5,0.6628602501359434,10.281000137329102,0.00048119999567667644
