Hash Size,Image Shape,Image Type,Accuracy,Fit Time,Average Query Time,acc,loss
8,"(128, 128)",blackwhite/string_image,0.508,5.764039516448975,1.2287254333496093e-05,0.5288,0.6910
8,"(128, 128)",color/string_image/not_smooth,0.508,5.792859792709351,1.4521255493164062e-05,0.4920,0.6933
8,"(128, 128)",color/string_image/smooth,0.50256,7.056317090988159,1.643451690673828e-05,0.5070,0.6935
8,"(128, 128)",color/full_image/not_smooth,0.508,24.515355825424194,1.8191871643066406e-05,0.4922,0.6931
8,"(128, 128)",color/full_image/smooth,0.508,6.2543909549713135,2.1382827758789063e-05,0.4920,0.6933
8,"(128, 128)",color/string_image/smooth,0.50256,8.035280466079712,2.1993560791015626e-05,0.5040,0.6933
8,"(128, 128)",grayscale/full_image,0.50432,6.357286691665649,2.409526824951172e-05,0.4957,0.6932
8,"(128, 128)",blackwhite/full_image,0.50432,6.68044900894165,2.6878013610839844e-05,0.4957,0.6932
8,"(128, 128)",grayscale/string_image,0.50432,16.986809015274048,2.7127723693847656e-05,0.5176,0.6938
8,"(64, 64)",blackwhite/string_image,0.508,8.981733560562134,2.9042510986328124e-05,0.5064,0.6925
8,"(64, 64)",color/string_image/not_smooth,0.508,6.738155364990234,2.856353759765625e-05,0.4920,0.6933
8,"(64, 64)",color/string_image/smooth,0.50432,12.647626876831055,3.484352111816406e-05,0.5048,0.6928
8,"(64, 64)",color/full_image/not_smooth,0.508,7.607451438903809,3.665943145751953e-05,0.4920,0.6933
8,"(64, 64)",color/full_image/smooth,0.508,6.927002429962158,3.500522613525391e-05,0.4920,0.6933
8,"(64, 64)",color/string_image/smooth,0.50432,24.57639193534851,3.606353759765625e-05,0.5058,0.6925
8,"(64, 64)",grayscale/full_image,0.50432,27.018751621246338,4.0531539916992187e-05,0.5152,0.6925
8,"(64, 64)",blackwhite/full_image,0.50432,12.875064373016357,4.053619384765625e-05,0.4957,0.6934
8,"(64, 64)",grayscale/string_image,0.50432,8.069390773773193,4.116985321044922e-05,0.5074,0.6935
8,"(48, 64)",blackwhite/string_image,0.508,7.109957933425903,4.2446479797363284e-05,0.5035,0.6930
8,"(48, 64)",color/string_image/not_smooth,0.508,7.214705228805542,4.5323257446289065e-05,0.4920,0.6933
8,"(48, 64)",color/string_image/smooth,0.50432,24.730955600738525,5.15423583984375e-05,0.5141,0.7001
8,"(48, 64)",color/full_image/not_smooth,0.508,7.753235340118408,4.675910949707031e-05,0.5286,0.6913
8,"(48, 64)",color/full_image/smooth,0.508,10.66944169998169,5.058475494384766e-05,0.5270,0.6908
8,"(48, 64)",color/string_image/smooth,0.50432,23.662725687026978,5.4733657836914064e-05,0.5149,0.6995
8,"(48, 64)",grayscale/full_image,0.50432,7.843699216842651,6.979610443115235e-05,0.4957,0.6932
8,"(48, 64)",blackwhite/full_image,0.50432,24.547332048416138,5.936126708984375e-05,0.4960,0.6945
8,"(48, 64)",grayscale/string_image,0.50432,10.955002784729004,5.760578155517578e-05,0.5184,0.6923
8,"(128, 64)",blackwhite/string_image,0.508,8.369616746902466,6.112091064453126e-05,0.5269,0.6916
8,"(128, 64)",color/string_image/not_smooth,0.508,8.330989599227905,6.543563842773437e-05,0.5022,0.6927
8,"(128, 64)",color/string_image/smooth,0.50432,14.295832395553589,6.335071563720703e-05,0.5086,0.6932
8,"(128, 64)",color/full_image/not_smooth,0.508,11.171098947525024,6.590385437011718e-05,0.5126,0.6911
8,"(128, 64)",color/full_image/smooth,0.508,8.490267038345337,6.494625091552734e-05,0.4920,0.6933
8,"(128, 64)",color/string_image/smooth,0.50432,15.143514633178711,6.670181274414062e-05,0.5032,0.6934
8,"(128, 64)",grayscale/full_image,0.50432,27.63240361213684,6.877826690673829e-05,0.5165,0.6927
8,"(128, 64)",blackwhite/full_image,0.50432,9.69923710823059,7.404209136962891e-05,0.5048,0.6932
8,"(128, 64)",grayscale/string_image,0.50432,26.88310956954956,7.260574340820312e-05,0.5154,0.6927
16,"(128, 128)",blackwhite/string_image,0.508,12.581355810165405,7.675468444824219e-05,0.5077,0.6943
16,"(128, 128)",color/string_image/not_smooth,0.508,12.927693367004395,7.914833068847656e-05,0.5050,0.6928
16,"(128, 128)",color/string_image/smooth,0.50432,35.12750864028931,7.867340087890625e-05,0.5157,0.6951
16,"(128, 128)",color/full_image/not_smooth,0.508,25.475456714630127,7.930770874023438e-05,0.4920,0.6941
16,"(128, 128)",color/full_image/smooth,0.508,12.907579898834229,8.2818603515625e-05,0.5088,0.6935
16,"(128, 128)",color/string_image/smooth,0.50432,35.17237067222595,8.297828674316406e-05,0.5134,0.6950
16,"(128, 128)",grayscale/full_image,0.50432,32.06995940208435,9.032333374023438e-05,0.4978,0.6934
16,"(128, 128)",blackwhite/full_image,0.50432,31.153650045394897,8.664852142333985e-05,0.4976,0.6945
