Hash Size,Image Shape,Image Type,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,"(128, 128)",blackwhite/string_image,euclidean,1,0.4976,0.013000011444091797,6.0799980163574215e-06
8,"(128, 128)",blackwhite/string_image,hamming,1,0.4976,0.01900005340576172,0.0001013599967956543
8,"(128, 128)",blackwhite/string_image,euclidean,4,0.50808,0.013000011444091797,4.319992065429688e-06
8,"(128, 128)",blackwhite/string_image,hamming,4,0.50808,0.006000041961669922,8.055999755859375e-05
8,"(128, 128)",blackwhite/string_image,euclidean,20,0.4992,0.01100015640258789,6.0799980163574215e-06
8,"(128, 128)",blackwhite/string_image,hamming,20,0.4992,0.006000041961669922,7.15999984741211e-05
8,"(128, 128)",blackwhite/string_image,euclidean,50,0.5032,0.009000062942504883,8.32000732421875e-06
8,"(128, 128)",blackwhite/string_image,hamming,50,0.50296,0.006999969482421875,7.648000717163086e-05
8,"(128, 128)",blackwhite/string_image,euclidean,100,0.51008,0.009999990463256836,1.536001205444336e-05
8,"(128, 128)",blackwhite/string_image,hamming,100,0.50832,0.009000062942504883,9.288000106811523e-05
8,"(128, 128)",blackwhite/string_image,euclidean,250,0.51224,0.008999824523925781,5.048000335693359e-05
8,"(128, 128)",blackwhite/string_image,hamming,250,0.51352,0.006999969482421875,0.0001592799949645996
8,"(128, 128)",color/string_image/not_smooth,euclidean,1,0.50128,0.10700011253356934,0.00010327999114990234
8,"(128, 128)",color/string_image/not_smooth,hamming,1,0.50128,0.11900019645690918,0.00012687999725341796
8,"(128, 128)",color/string_image/not_smooth,euclidean,4,0.50128,0.11099982261657715,9.152000427246094e-05
8,"(128, 128)",color/string_image/not_smooth,hamming,4,0.50128,0.09599995613098145,0.0001202400016784668
8,"(128, 128)",color/string_image/not_smooth,euclidean,20,0.50352,0.09599995613098145,8.808000564575196e-05
8,"(128, 128)",color/string_image/not_smooth,hamming,20,0.50352,0.08500003814697266,0.00011383998870849609
8,"(128, 128)",color/string_image/not_smooth,euclidean,50,0.4988,0.09100008010864258,9.576000213623047e-05
8,"(128, 128)",color/string_image/not_smooth,hamming,50,0.49872,0.08899998664855957,0.00012552000045776366
8,"(128, 128)",color/string_image/not_smooth,euclidean,100,0.4988,0.0989999771118164,0.00010544000625610351
8,"(128, 128)",color/string_image/not_smooth,hamming,100,0.49872,0.10100007057189941,0.00013328001022338868
8,"(128, 128)",color/string_image/not_smooth,euclidean,250,0.50048,0.08599996566772461,0.0001313599967956543
8,"(128, 128)",color/string_image/not_smooth,hamming,250,0.50048,0.1099998950958252,0.000177760009765625
8,"(128, 128)",color/string_image/smooth,euclidean,1,0.50176,0.026999950408935547,2.5200004577636717e-05
8,"(128, 128)",color/string_image/smooth,hamming,1,0.50152,0.0279998779296875,8.191999435424804e-05
8,"(128, 128)",color/string_image/smooth,euclidean,4,0.4964,0.026000022888183594,2.3040008544921874e-05
8,"(128, 128)",color/string_image/smooth,hamming,4,0.49656,0.03099989891052246,7.592000961303711e-05
8,"(128, 128)",color/string_image/smooth,euclidean,20,0.50208,0.026999950408935547,2.3040008544921874e-05
8,"(128, 128)",color/string_image/smooth,hamming,20,0.50176,0.023000001907348633,8.351999282836914e-05
8,"(128, 128)",color/string_image/smooth,euclidean,50,0.5072,0.026999950408935547,2.6560001373291017e-05
8,"(128, 128)",color/string_image/smooth,hamming,50,0.50664,0.024000167846679688,8.279998779296875e-05
8,"(128, 128)",color/string_image/smooth,euclidean,100,0.5068,0.031000137329101562,3.8319988250732425e-05
8,"(128, 128)",color/string_image/smooth,hamming,100,0.50616,0.024000167846679688,9.472000122070312e-05
8,"(128, 128)",color/string_image/smooth,euclidean,250,0.50712,0.0280001163482666,6.656000137329102e-05
8,"(128, 128)",color/string_image/smooth,hamming,250,0.50952,0.03400015830993652,0.0001311199951171875
8,"(128, 128)",color/full_image/not_smooth,euclidean,1,0.4996,0.10100007057189941,9.751998901367188e-05
8,"(128, 128)",color/full_image/not_smooth,hamming,1,0.4996,0.10899996757507324,0.0001303999900817871
8,"(128, 128)",color/full_image/not_smooth,euclidean,4,0.4996,0.10000014305114746,9.535999298095703e-05
8,"(128, 128)",color/full_image/not_smooth,hamming,4,0.49952,0.11299991607666016,0.00013336000442504883
8,"(128, 128)",color/full_image/not_smooth,euclidean,20,0.50104,0.12100005149841309,0.00010215999603271484
8,"(128, 128)",color/full_image/not_smooth,hamming,20,0.50104,0.11299991607666016,0.0001272800064086914
8,"(128, 128)",color/full_image/not_smooth,euclidean,50,0.50048,0.12899994850158691,0.00010480001449584962
8,"(128, 128)",color/full_image/not_smooth,hamming,50,0.50048,0.10099983215332031,0.00013064001083374025
8,"(128, 128)",color/full_image/not_smooth,euclidean,100,0.50048,0.10299992561340332,0.00010752000808715821
8,"(128, 128)",color/full_image/not_smooth,hamming,100,0.50048,0.10899996757507324,0.0001302400016784668
8,"(128, 128)",color/full_image/not_smooth,euclidean,250,0.49952,0.09200000762939453,0.0001328799819946289
8,"(128, 128)",color/full_image/not_smooth,hamming,250,0.49952,0.09999990463256836,0.00016352001190185546
8,"(128, 128)",color/full_image/smooth,euclidean,1,0.4996,0.11400008201599121,9.703998565673828e-05
8,"(128, 128)",color/full_image/smooth,hamming,1,0.49952,0.10899996757507324,0.00012144001007080078
8,"(128, 128)",color/full_image/smooth,euclidean,4,0.4996,0.1119999885559082,9.680000305175782e-05
8,"(128, 128)",color/full_image/smooth,hamming,4,0.49952,0.09999990463256836,0.00013079999923706055
8,"(128, 128)",color/full_image/smooth,euclidean,20,0.50104,0.10100007057189941,0.00010312000274658203
8,"(128, 128)",color/full_image/smooth,hamming,20,0.50104,0.10699987411499023,0.00012464000701904298
8,"(128, 128)",color/full_image/smooth,euclidean,50,0.50048,0.10700011253356934,9.81599998474121e-05
