Hash Size,Image Shape,Image Type,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,"(28, 80)",blackwhite/string_image,euclidean,1,0.48932,0.1530001163482666,2.4939999580383302e-05
8,"(28, 80)",blackwhite/string_image,hamming,1,0.4893,0.1119999885559082,0.00028598000049591063
8,"(28, 80)",blackwhite/string_image,euclidean,4,0.4653,0.14499998092651367,2.390000343322754e-05
8,"(28, 80)",blackwhite/string_image,hamming,4,0.46538,0.13300013542175293,0.00033953999996185304
8,"(28, 80)",blackwhite/string_image,euclidean,20,0.51048,0.16699981689453125,2.760000228881836e-05
8,"(28, 80)",blackwhite/string_image,hamming,20,0.5099,0.14600014686584473,0.00034323999881744386
8,"(28, 80)",blackwhite/string_image,euclidean,50,0.54982,0.1359999179840088,3.110000133514404e-05
8,"(28, 80)",blackwhite/string_image,hamming,50,0.54944,0.13199996948242188,0.0003644000005722046
8,"(28, 80)",blackwhite/string_image,euclidean,100,0.53796,0.1380000114440918,3.9260001182556156e-05
8,"(28, 80)",blackwhite/string_image,hamming,100,0.53808,0.11500000953674316,0.0003615000009536743
8,"(28, 80)",blackwhite/string_image,euclidean,250,0.56074,0.15799999237060547,7.33400011062622e-05
8,"(28, 80)",blackwhite/string_image,hamming,250,0.56172,0.125,0.00039553999900817873
8,"(28, 80)",color/string_image/not_smooth,euclidean,1,0.5648,1.812999963760376,0.00042008000373840333
8,"(28, 80)",color/string_image/not_smooth,hamming,1,0.5648,1.8510000705718994,0.0005373600006103516
8,"(28, 80)",color/string_image/not_smooth,euclidean,4,0.5648,1.7780001163482666,0.0004025799989700317
8,"(28, 80)",color/string_image/not_smooth,hamming,4,0.5648,1.815999984741211,0.0005311800003051758
8,"(28, 80)",color/string_image/not_smooth,euclidean,20,0.56498,1.8229999542236328,0.0004141599988937378
8,"(28, 80)",color/string_image/not_smooth,hamming,20,0.56498,1.8000001907348633,0.000558899998664856
8,"(28, 80)",color/string_image/not_smooth,euclidean,50,0.56498,1.7330000400543213,0.00043550000190734864
8,"(28, 80)",color/string_image/not_smooth,hamming,50,0.56498,1.8370001316070557,0.000545959997177124
8,"(28, 80)",color/string_image/not_smooth,euclidean,100,0.56498,1.8840000629425049,0.0004488000011444092
